"start","Aurangzeb.movie."
2013-06-01,100
2013-06-02,88
2013-06-03,56
2013-06-04,46
2013-06-05,38
2013-06-06,40
2013-06-07,52
2013-06-08,61
2013-06-09,58
2013-06-10,36
2013-06-11,32
2013-06-12,35
2013-06-13,35
2013-06-14,37
2013-06-15,44
2013-06-16,44
2013-06-17,25
2013-06-18,30
2013-06-19,20
2013-06-20,24
2013-06-21,29
2013-06-22,40
2013-06-23,33
2013-06-24,17
2013-06-25,18
2013-06-26,20
2013-06-27,23
2013-06-28,28
2013-06-29,49
2013-06-30,47
