"start","Chennai.Express.movie."
2013-08-01,7
2013-08-02,8
2013-08-03,11
2013-08-04,11
2013-08-05,10
2013-08-06,10
2013-08-07,13
2013-08-08,36
2013-08-09,88
2013-08-10,100
2013-08-11,87
2013-08-12,64
2013-08-13,58
2013-08-14,59
2013-08-15,63
2013-08-16,57
2013-08-17,67
2013-08-18,59
2013-08-19,40
2013-08-20,39
2013-08-21,35
2013-08-22,33
2013-08-23,37
2013-08-24,50
2013-08-25,45
2013-08-26,27
2013-08-27,25
2013-08-28,28
2013-08-29,25
2013-08-30,28
2013-08-31,36
