"start","Mission.Impossible.Rogue.Nation.movie."
2015-09-01,59
2015-09-02,49
2015-09-03,44
2015-09-04,64
2015-09-05,100
2015-09-06,94
2015-09-07,74
2015-09-08,46
2015-09-09,43
2015-09-10,41
2015-09-11,59
2015-09-12,98
2015-09-13,86
2015-09-14,44
2015-09-15,34
2015-09-16,41
2015-09-17,41
2015-09-18,56
2015-09-19,84
2015-09-20,76
2015-09-21,37
2015-09-22,32
2015-09-23,37
2015-09-24,56
2015-09-25,68
2015-09-26,81
2015-09-27,80
2015-09-28,34
2015-09-29,33
2015-09-30,36
