"start","Mission.Impossible.Rogue.Nation.movie."
2015-08-01,84
2015-08-02,100
2015-08-03,62
2015-08-04,52
2015-08-05,53
2015-08-06,49
2015-08-07,75
2015-08-08,100
2015-08-09,97
2015-08-10,67
2015-08-11,53
2015-08-12,50
2015-08-13,49
2015-08-14,60
2015-08-15,86
2015-08-16,68
2015-08-17,40
2015-08-18,35
2015-08-19,34
2015-08-20,41
2015-08-21,43
2015-08-22,66
2015-08-23,58
2015-08-24,32
2015-08-25,27
2015-08-26,25
2015-08-27,24
2015-08-28,34
2015-08-29,52
2015-08-30,41
2015-08-31,25
