"start","A.Good.Day.To.Die.Hard.movie."
2013-01-01,3
2013-01-02,3
2013-01-03,4
2013-01-04,5
2013-01-05,5
2013-01-06,6
2013-01-07,4
2013-01-08,3
2013-01-09,2
2013-01-10,3
2013-01-11,5
2013-01-12,8
2013-01-13,8
2013-01-14,4
2013-01-15,3
2013-01-16,2
2013-01-17,3
2013-01-18,6
2013-01-19,6
2013-01-20,10
2013-01-21,6
2013-01-22,4
2013-01-23,3
2013-01-24,5
2013-01-25,4
2013-01-26,8
2013-01-27,8
2013-01-28,6
2013-01-29,6
2013-01-30,5
2013-01-31,8
2013-02-01,11
2013-02-02,11
2013-02-03,12
2013-02-04,11
2013-02-05,14
2013-02-06,14
2013-02-07,19
2013-02-08,17
2013-02-09,25
2013-02-10,25
2013-02-11,18
2013-02-12,25
2013-02-13,31
2013-02-14,63
2013-02-15,70
2013-02-16,100
2013-02-17,90
2013-02-18,49
2013-02-19,37
2013-02-20,43
2013-02-21,35
2013-02-22,57
2013-02-23,75
2013-02-24,63
2013-02-25,38
2013-02-26,31
2013-02-27,30
2013-02-28,29
