"start","A.Good.Day.To.Die.Hard.movie."
2013-02-01,10
2013-02-02,10
2013-02-03,8
2013-02-04,10
2013-02-05,15
2013-02-06,15
2013-02-07,17
2013-02-08,20
2013-02-09,20
2013-02-10,22
2013-02-11,21
2013-02-12,27
2013-02-13,32
2013-02-14,73
2013-02-15,82
2013-02-16,100
2013-02-17,87
2013-02-18,52
2013-02-19,38
2013-02-20,48
2013-02-21,40
2013-02-22,62
2013-02-23,73
2013-02-24,67
2013-02-25,36
2013-02-26,36
2013-02-27,36
2013-02-28,30
