"start","Hate.Story.2.movie."
2014-05-01,0
2014-05-02,0
2014-05-03,0
2014-05-04,0
2014-05-05,0
2014-05-06,0
2014-05-07,0
2014-05-08,0
2014-05-09,0
2014-05-10,0
2014-05-11,0
2014-05-12,0
2014-05-13,0
2014-05-14,0
2014-05-15,0
2014-05-16,0
2014-05-17,0
2014-05-18,0
2014-05-19,0
2014-05-20,0
2014-05-21,0
2014-05-22,0
2014-05-23,0
2014-05-24,0
2014-05-25,0
2014-05-26,0
2014-05-27,0
2014-05-28,0
2014-05-29,0
2014-05-30,0
2014-05-31,0
2014-06-01,0
2014-06-02,0
2014-06-03,0
2014-06-04,0
2014-06-05,1
2014-06-06,9
2014-06-07,14
2014-06-08,15
2014-06-09,13
2014-06-10,13
2014-06-11,14
2014-06-12,15
2014-06-13,15
2014-06-14,18
2014-06-15,19
2014-06-16,16
2014-06-17,16
2014-06-18,16
2014-06-19,17
2014-06-20,18
2014-06-21,20
2014-06-22,19
2014-06-23,14
2014-06-24,14
2014-06-25,13
2014-06-26,14
2014-06-27,15
2014-06-28,17
2014-06-29,14
2014-06-30,10
2014-07-01,11
2014-07-02,11
2014-07-03,13
2014-07-04,14
2014-07-05,15
2014-07-06,16
2014-07-07,13
2014-07-08,13
2014-07-09,14
2014-07-10,13
2014-07-11,15
2014-07-12,19
2014-07-13,16
2014-07-14,15
2014-07-15,15
2014-07-16,17
2014-07-17,21
2014-07-18,73
2014-07-19,100
2014-07-20,75
2014-07-21,56
2014-07-22,50
2014-07-23,47
2014-07-24,43
2014-07-25,41
2014-07-26,48
2014-07-27,39
2014-07-28,33
2014-07-29,36
2014-07-30,33
2014-07-31,31
