"start","Bhaag.Milkha.Bhaag.movie."
2013-07-01,4
2013-07-02,5
2013-07-03,4
2013-07-04,4
2013-07-05,6
2013-07-06,7
2013-07-07,6
2013-07-08,5
2013-07-09,7
2013-07-10,13
2013-07-11,26
2013-07-12,83
2013-07-13,99
2013-07-14,96
2013-07-15,75
2013-07-16,71
2013-07-17,63
2013-07-18,61
2013-07-19,78
2013-07-20,100
2013-07-21,92
2013-07-22,52
2013-07-23,45
2013-07-24,45
2013-07-25,41
2013-07-26,44
2013-07-27,62
2013-07-28,50
2013-07-29,32
2013-07-30,28
2013-07-31,32
