"start","Kingsman.The.Secret.Service.movie."
2015-08-01,84
2015-08-02,92
2015-08-03,83
2015-08-04,54
2015-08-05,45
2015-08-06,50
2015-08-07,66
2015-08-08,74
2015-08-09,93
2015-08-10,52
2015-08-11,68
2015-08-12,47
2015-08-13,57
2015-08-14,49
2015-08-15,91
2015-08-16,80
2015-08-17,55
2015-08-18,37
2015-08-19,57
2015-08-20,59
2015-08-21,58
2015-08-22,100
2015-08-23,90
2015-08-24,55
2015-08-25,45
2015-08-26,49
2015-08-27,43
2015-08-28,54
2015-08-29,80
2015-08-30,87
2015-08-31,46
