"start","Horror.Story.movie."
2013-09-01,11
2013-09-02,11
2013-09-03,9
2013-09-04,11
2013-09-05,12
2013-09-06,13
2013-09-07,15
2013-09-08,17
2013-09-09,14
2013-09-10,13
2013-09-11,20
2013-09-12,28
2013-09-13,91
2013-09-14,100
2013-09-15,88
2013-09-16,75
2013-09-17,70
2013-09-18,76
2013-09-19,67
2013-09-20,78
2013-09-21,83
2013-09-22,69
2013-09-23,54
2013-09-24,50
2013-09-25,50
2013-09-26,53
2013-09-27,52
2013-09-28,62
2013-09-29,51
2013-09-30,37
