"start","Horror.Story.movie."
2013-08-01,5
2013-08-02,5
2013-08-03,7
2013-08-04,9
2013-08-05,6
2013-08-06,8
2013-08-07,8
2013-08-08,6
2013-08-09,8
2013-08-10,7
2013-08-11,11
2013-08-12,7
2013-08-13,10
2013-08-14,8
2013-08-15,8
2013-08-16,10
2013-08-17,13
2013-08-18,12
2013-08-19,7
2013-08-20,9
2013-08-21,8
2013-08-22,13
2013-08-23,17
2013-08-24,18
2013-08-25,19
2013-08-26,13
2013-08-27,11
2013-08-28,9
2013-08-29,11
2013-08-30,9
2013-08-31,17
2013-09-01,11
2013-09-02,13
2013-09-03,10
2013-09-04,10
2013-09-05,12
2013-09-06,16
2013-09-07,16
2013-09-08,20
2013-09-09,12
2013-09-10,12
2013-09-11,19
2013-09-12,30
2013-09-13,91
2013-09-14,100
2013-09-15,81
2013-09-16,81
2013-09-17,75
2013-09-18,74
2013-09-19,67
2013-09-20,83
2013-09-21,89
2013-09-22,72
2013-09-23,55
2013-09-24,51
2013-09-25,54
2013-09-26,54
2013-09-27,56
2013-09-28,67
2013-09-29,52
2013-09-30,37
