"start","Horror.Story.movie."
2013-10-01,81
2013-10-02,80
2013-10-03,65
2013-10-04,76
2013-10-05,92
2013-10-06,99
2013-10-07,77
2013-10-08,71
2013-10-09,72
2013-10-10,100
2013-10-11,94
2013-10-12,84
2013-10-13,84
2013-10-14,68
2013-10-15,56
2013-10-16,67
2013-10-17,74
2013-10-18,63
2013-10-19,77
2013-10-20,62
2013-10-21,42
2013-10-22,46
2013-10-23,46
2013-10-24,62
2013-10-25,52
2013-10-26,69
2013-10-27,69
2013-10-28,47
2013-10-29,41
2013-10-30,42
2013-10-31,59
