"start","Heropanti.movie."
2014-04-01,0
2014-04-02,0
2014-04-03,0
2014-04-04,1
2014-04-05,2
2014-04-06,1
2014-04-07,1
2014-04-08,1
2014-04-09,1
2014-04-10,0
2014-04-11,1
2014-04-12,1
2014-04-13,3
2014-04-14,4
2014-04-15,4
2014-04-16,5
2014-04-17,6
2014-04-18,6
2014-04-19,8
2014-04-20,8
2014-04-21,7
2014-04-22,7
2014-04-23,7
2014-04-24,6
2014-04-25,7
2014-04-26,9
2014-04-27,8
2014-04-28,8
2014-04-29,9
2014-04-30,9
2014-05-01,9
2014-05-02,9
2014-05-03,12
2014-05-04,11
2014-05-05,10
2014-05-06,10
2014-05-07,10
2014-05-08,13
2014-05-09,13
2014-05-10,22
2014-05-11,23
2014-05-12,18
2014-05-13,17
2014-05-14,17
2014-05-15,18
2014-05-16,18
2014-05-17,23
2014-05-18,22
2014-05-19,20
2014-05-20,20
2014-05-21,20
2014-05-22,25
2014-05-23,75
2014-05-24,100
2014-05-25,90
2014-05-26,71
2014-05-27,65
2014-05-28,58
2014-05-29,62
2014-05-30,59
2014-05-31,73
