"start","Heropanti.movie."
2014-05-01,10
2014-05-02,10
2014-05-03,12
2014-05-04,11
2014-05-05,10
2014-05-06,11
2014-05-07,11
2014-05-08,13
2014-05-09,12
2014-05-10,23
2014-05-11,23
2014-05-12,19
2014-05-13,19
2014-05-14,17
2014-05-15,18
2014-05-16,19
2014-05-17,23
2014-05-18,22
2014-05-19,19
2014-05-20,19
2014-05-21,21
2014-05-22,26
2014-05-23,75
2014-05-24,100
2014-05-25,89
2014-05-26,72
2014-05-27,65
2014-05-28,59
2014-05-29,60
2014-05-30,59
2014-05-31,76
