"start","Policegiri.movie."
2013-08-01,72
2013-08-02,73
2013-08-03,86
2013-08-04,94
2013-08-05,63
2013-08-06,62
2013-08-07,67
2013-08-08,63
2013-08-09,83
2013-08-10,92
2013-08-11,94
2013-08-12,71
2013-08-13,76
2013-08-14,61
2013-08-15,100
2013-08-16,98
2013-08-17,94
2013-08-18,91
2013-08-19,58
2013-08-20,56
2013-08-21,36
2013-08-22,45
2013-08-23,48
2013-08-24,90
2013-08-25,59
2013-08-26,53
2013-08-27,57
2013-08-28,50
2013-08-29,46
2013-08-30,44
2013-08-31,56
