"start","Policegiri.movie."
2013-07-01,9
2013-07-02,10
2013-07-03,12
2013-07-04,18
2013-07-05,78
2013-07-06,100
2013-07-07,88
2013-07-08,67
2013-07-09,56
2013-07-10,54
2013-07-11,48
2013-07-12,51
2013-07-13,57
2013-07-14,51
2013-07-15,36
2013-07-16,32
2013-07-17,33
2013-07-18,30
2013-07-19,32
2013-07-20,44
2013-07-21,35
2013-07-22,25
2013-07-23,24
2013-07-24,19
2013-07-25,21
2013-07-26,21
2013-07-27,28
2013-07-28,23
2013-07-29,19
2013-07-30,17
2013-07-31,16
