"start","Policegiri.movie."
2013-05-01,0
2013-05-02,3
2013-05-03,3
2013-05-04,3
2013-05-05,4
2013-05-06,3
2013-05-07,3
2013-05-08,3
2013-05-09,3
2013-05-10,5
2013-05-11,6
2013-05-12,3
2013-05-13,9
2013-05-14,9
2013-05-15,6
2013-05-16,9
2013-05-17,11
2013-05-18,5
2013-05-19,7
2013-05-20,6
2013-05-21,4
2013-05-22,3
2013-05-23,6
2013-05-24,4
2013-05-25,7
2013-05-26,7
2013-05-27,3
2013-05-28,8
2013-05-29,17
2013-05-30,18
2013-05-31,17
2013-06-01,20
2013-06-02,15
2013-06-03,26
2013-06-04,22
2013-06-05,21
2013-06-06,27
2013-06-07,31
2013-06-08,45
2013-06-09,51
2013-06-10,31
2013-06-11,35
2013-06-12,54
2013-06-13,49
2013-06-14,79
2013-06-15,69
2013-06-16,68
2013-06-17,53
2013-06-18,61
2013-06-19,50
2013-06-20,48
2013-06-21,66
2013-06-22,76
2013-06-23,42
2013-06-24,42
2013-06-25,52
2013-06-26,46
2013-06-27,57
2013-06-28,81
2013-06-29,100
2013-06-30,79
