"start","Roy.movie."
2015-02-01,29
2015-02-02,24
2015-02-03,24
2015-02-04,23
2015-02-05,23
2015-02-06,26
2015-02-07,31
2015-02-08,29
2015-02-09,22
2015-02-10,25
2015-02-11,27
2015-02-12,34
2015-02-13,100
2015-02-14,96
2015-02-15,70
2015-02-16,55
2015-02-17,50
2015-02-18,40
2015-02-19,39
2015-02-20,37
2015-02-21,40
2015-02-22,32
2015-02-23,23
2015-02-24,22
2015-02-25,20
2015-02-26,20
2015-02-27,20
2015-02-28,23
