"start","Roy.movie."
2015-03-01,100
2015-03-02,72
2015-03-03,67
2015-03-04,62
2015-03-05,68
2015-03-06,62
2015-03-07,78
2015-03-08,73
2015-03-09,51
2015-03-10,48
2015-03-11,49
2015-03-12,49
2015-03-13,52
2015-03-14,63
2015-03-15,65
2015-03-16,55
2015-03-17,54
2015-03-18,48
2015-03-19,50
2015-03-20,53
2015-03-21,71
2015-03-22,72
2015-03-23,57
2015-03-24,56
2015-03-25,58
2015-03-26,50
2015-03-27,64
2015-03-28,88
2015-03-29,83
2015-03-30,61
2015-03-31,62
