"start","Raanjhanaa.movie."
2013-04-01,0
2013-04-02,0
2013-04-03,0
2013-04-04,0
2013-04-05,0
2013-04-06,0
2013-04-07,0
2013-04-08,0
2013-04-09,0
2013-04-10,0
2013-04-11,0
2013-04-12,0
2013-04-13,0
2013-04-14,0
2013-04-15,0
2013-04-16,0
2013-04-17,0
2013-04-18,0
2013-04-19,0
2013-04-20,0
2013-04-21,0
2013-04-22,0
2013-04-23,1
2013-04-24,2
2013-04-25,1
2013-04-26,1
2013-04-27,1
2013-04-28,1
2013-04-29,1
2013-04-30,0
2013-05-01,0
2013-05-02,0
2013-05-03,1
2013-05-04,1
2013-05-05,1
2013-05-06,1
2013-05-07,1
2013-05-08,1
2013-05-09,1
2013-05-10,2
2013-05-11,2
2013-05-12,2
2013-05-13,2
2013-05-14,2
2013-05-15,1
2013-05-16,2
2013-05-17,3
2013-05-18,3
2013-05-19,3
2013-05-20,2
2013-05-21,2
2013-05-22,2
2013-05-23,4
2013-05-24,3
2013-05-25,3
2013-05-26,4
2013-05-27,4
2013-05-28,3
2013-05-29,3
2013-05-30,5
2013-05-31,3
2013-06-01,4
2013-06-02,4
2013-06-03,2
2013-06-04,2
2013-06-05,4
2013-06-06,4
2013-06-07,3
2013-06-08,3
2013-06-09,2
2013-06-10,2
2013-06-11,2
2013-06-12,2
2013-06-13,2
2013-06-14,4
2013-06-15,4
2013-06-16,4
2013-06-17,3
2013-06-18,5
2013-06-19,7
2013-06-20,9
2013-06-21,66
2013-06-22,100
2013-06-23,69
2013-06-24,57
2013-06-25,47
2013-06-26,47
2013-06-27,42
2013-06-28,72
2013-06-29,96
2013-06-30,69
