"start","Youngistaan.movie."
2014-05-01,75
2014-05-02,72
2014-05-03,78
2014-05-04,59
2014-05-05,49
2014-05-06,51
2014-05-07,40
2014-05-08,51
2014-05-09,70
2014-05-10,61
2014-05-11,65
2014-05-12,52
2014-05-13,50
2014-05-14,44
2014-05-15,55
2014-05-16,63
2014-05-17,100
2014-05-18,69
2014-05-19,48
2014-05-20,44
2014-05-21,36
2014-05-22,57
2014-05-23,63
2014-05-24,71
2014-05-25,76
2014-05-26,47
2014-05-27,54
2014-05-28,39
2014-05-29,45
2014-05-30,52
2014-05-31,67
