"","start","ABCD.2."
"1",2015-07-01,83
"2",2015-07-02,81
"3",2015-07-03,83
"4",2015-07-04,100
"5",2015-07-05,94
"6",2015-07-06,62
"7",2015-07-07,58
"8",2015-07-08,54
"9",2015-07-09,56
"10",2015-07-10,59
"11",2015-07-11,79
"12",2015-07-12,73
"13",2015-07-13,45
"14",2015-07-14,42
"15",2015-07-15,42
"16",2015-07-16,43
"17",2015-07-17,48
"18",2015-07-18,67
"19",2015-07-19,63
"20",2015-07-20,41
"21",2015-07-21,40
"22",2015-07-22,36
"23",2015-07-23,36
"24",2015-07-24,37
"25",2015-07-25,48
"26",2015-07-26,49
"27",2015-07-27,33
"28",2015-07-28,33
"29",2015-07-29,29
"30",2015-07-30,28
"31",2015-07-31,32
