"start","Dawn.of.the.Planet.of.the.Apes.movie."
2014-07-01,6
2014-07-02,9
2014-07-03,9
2014-07-04,10
2014-07-05,14
2014-07-06,17
2014-07-07,14
2014-07-08,17
2014-07-09,23
2014-07-10,34
2014-07-11,72
2014-07-12,100
2014-07-13,92
2014-07-14,62
2014-07-15,59
2014-07-16,55
2014-07-17,50
2014-07-18,58
2014-07-19,84
2014-07-20,78
2014-07-21,48
2014-07-22,42
2014-07-23,39
2014-07-24,42
2014-07-25,48
2014-07-26,72
2014-07-27,60
2014-07-28,39
2014-07-29,36
2014-07-30,38
2014-07-31,33
