"start","Dawn.of.the.Planet.of.the.Apes.movie."
2014-08-01,73
2014-08-02,100
2014-08-03,95
2014-08-04,58
2014-08-05,52
2014-08-06,47
2014-08-07,50
2014-08-08,54
2014-08-09,73
2014-08-10,66
2014-08-11,39
2014-08-12,38
2014-08-13,37
2014-08-14,39
2014-08-15,41
2014-08-16,52
2014-08-17,49
2014-08-18,30
2014-08-19,28
2014-08-20,26
2014-08-21,29
2014-08-22,34
2014-08-23,41
2014-08-24,40
2014-08-25,27
2014-08-26,24
2014-08-27,22
2014-08-28,24
2014-08-29,26
2014-08-30,36
2014-08-31,40
