"start","Gori.Tere.Pyaar.Mein.movie."
2013-11-01,6
2013-11-02,6
2013-11-03,3
2013-11-04,7
2013-11-05,6
2013-11-06,6
2013-11-07,5
2013-11-08,6
2013-11-09,9
2013-11-10,8
2013-11-11,7
2013-11-12,5
2013-11-13,7
2013-11-14,6
2013-11-15,9
2013-11-16,11
2013-11-17,13
2013-11-18,11
2013-11-19,8
2013-11-20,10
2013-11-21,22
2013-11-22,72
2013-11-23,100
2013-11-24,89
2013-11-25,70
2013-11-26,54
2013-11-27,56
2013-11-28,61
2013-11-29,60
2013-11-30,71
