"start","Jolly.LLB.movie."
2013-01-01,0
2013-01-02,0
2013-01-03,0
2013-01-04,0
2013-01-05,0
2013-01-06,0
2013-01-07,0
2013-01-08,1
2013-01-09,2
2013-01-10,2
2013-01-11,1
2013-01-12,1
2013-01-13,1
2013-01-14,1
2013-01-15,1
2013-01-16,1
2013-01-17,1
2013-01-18,1
2013-01-19,1
2013-01-20,1
2013-01-21,1
2013-01-22,0
2013-01-23,1
2013-01-24,1
2013-01-25,1
2013-01-26,1
2013-01-27,1
2013-01-28,0
2013-01-29,0
2013-01-30,0
2013-01-31,0
2013-02-01,1
2013-02-02,0
2013-02-03,1
2013-02-04,0
2013-02-05,0
2013-02-06,0
2013-02-07,0
2013-02-08,0
2013-02-09,0
2013-02-10,1
2013-02-11,1
2013-02-12,1
2013-02-13,0
2013-02-14,1
2013-02-15,1
2013-02-16,1
2013-02-17,1
2013-02-18,1
2013-02-19,2
2013-02-20,2
2013-02-21,1
2013-02-22,3
2013-02-23,3
2013-02-24,2
2013-02-25,3
2013-02-26,2
2013-02-27,2
2013-02-28,2
2013-03-01,3
2013-03-02,3
2013-03-03,3
2013-03-04,2
2013-03-05,4
2013-03-06,3
2013-03-07,4
2013-03-08,5
2013-03-09,5
2013-03-10,5
2013-03-11,4
2013-03-12,6
2013-03-13,8
2013-03-14,19
2013-03-15,73
2013-03-16,100
2013-03-17,77
2013-03-18,51
2013-03-19,50
2013-03-20,39
2013-03-21,41
2013-03-22,46
2013-03-23,61
2013-03-24,47
2013-03-25,28
2013-03-26,33
2013-03-27,30
2013-03-28,30
2013-03-29,39
2013-03-30,43
2013-03-31,35
