"start","Robocop.movie."
2014-03-01,100
2014-03-02,85
2014-03-03,52
2014-03-04,51
2014-03-05,49
2014-03-06,46
2014-03-07,59
2014-03-08,72
2014-03-09,79
2014-03-10,40
2014-03-11,36
2014-03-12,34
2014-03-13,34
2014-03-14,45
2014-03-15,56
2014-03-16,46
2014-03-17,34
2014-03-18,28
2014-03-19,31
2014-03-20,27
2014-03-21,35
2014-03-22,44
2014-03-23,45
2014-03-24,28
2014-03-25,27
2014-03-26,31
2014-03-27,31
2014-03-28,32
2014-03-29,43
2014-03-30,38
2014-03-31,28
