"start","Robocop.movie."
2014-02-01,19
2014-02-02,21
2014-02-03,17
2014-02-04,19
2014-02-05,23
2014-02-06,24
2014-02-07,37
2014-02-08,46
2014-02-09,43
2014-02-10,31
2014-02-11,33
2014-02-12,42
2014-02-13,55
2014-02-14,70
2014-02-15,100
2014-02-16,89
2014-02-17,58
2014-02-18,42
2014-02-19,38
2014-02-20,37
2014-02-21,47
2014-02-22,64
2014-02-23,55
2014-02-24,33
2014-02-25,29
2014-02-26,27
2014-02-27,26
2014-02-28,30
