"start","Robocop.movie."
2014-03-01,100
2014-03-02,84
2014-03-03,51
2014-03-04,51
2014-03-05,46
2014-03-06,47
2014-03-07,58
2014-03-08,72
2014-03-09,74
2014-03-10,41
2014-03-11,34
2014-03-12,34
2014-03-13,34
2014-03-14,43
2014-03-15,53
2014-03-16,45
2014-03-17,33
2014-03-18,28
2014-03-19,29
2014-03-20,28
2014-03-21,33
2014-03-22,44
2014-03-23,48
2014-03-24,29
2014-03-25,28
2014-03-26,33
2014-03-27,27
2014-03-28,31
2014-03-29,39
2014-03-30,40
2014-03-31,26
