"start","Finding.Fanny.movie."
2014-08-01,1
2014-08-02,1
2014-08-03,1
2014-08-04,1
2014-08-05,1
2014-08-06,1
2014-08-07,1
2014-08-08,0
2014-08-09,1
2014-08-10,0
2014-08-11,2
2014-08-12,2
2014-08-13,2
2014-08-14,2
2014-08-15,2
2014-08-16,3
2014-08-17,3
2014-08-18,2
2014-08-19,3
2014-08-20,3
2014-08-21,3
2014-08-22,3
2014-08-23,3
2014-08-24,3
2014-08-25,2
2014-08-26,2
2014-08-27,2
2014-08-28,3
2014-08-29,3
2014-08-30,3
2014-08-31,2
2014-09-01,2
2014-09-02,3
2014-09-03,4
2014-09-04,5
2014-09-05,5
2014-09-06,6
2014-09-07,9
2014-09-08,8
2014-09-09,7
2014-09-10,10
2014-09-11,18
2014-09-12,77
2014-09-13,100
2014-09-14,74
2014-09-15,46
2014-09-16,39
2014-09-17,33
2014-09-18,29
2014-09-19,35
2014-09-20,43
2014-09-21,33
2014-09-22,19
2014-09-23,17
2014-09-24,15
2014-09-25,15
2014-09-26,19
2014-09-27,21
2014-09-28,18
2014-09-29,9
2014-09-30,10
