"start","Finding.Fanny.movie."
2014-10-01,77
2014-10-02,75
2014-10-03,68
2014-10-04,100
2014-10-05,67
2014-10-06,42
2014-10-07,43
2014-10-08,44
2014-10-09,37
2014-10-10,43
2014-10-11,71
2014-10-12,60
2014-10-13,31
2014-10-14,36
2014-10-15,29
2014-10-16,27
2014-10-17,34
2014-10-18,41
2014-10-19,38
2014-10-20,25
2014-10-21,31
2014-10-22,25
2014-10-23,24
2014-10-24,27
2014-10-25,32
2014-10-26,36
2014-10-27,21
2014-10-28,24
2014-10-29,22
2014-10-30,21
2014-10-31,24
