"start","Oblivion.movie."
2013-05-01,68
2013-05-02,59
2013-05-03,64
2013-05-04,100
2013-05-05,82
2013-05-06,46
2013-05-07,38
2013-05-08,38
2013-05-09,39
2013-05-10,47
2013-05-11,81
2013-05-12,69
2013-05-13,35
2013-05-14,27
2013-05-15,26
2013-05-16,25
2013-05-17,34
2013-05-18,55
2013-05-19,46
2013-05-20,28
2013-05-21,23
2013-05-22,23
2013-05-23,23
2013-05-24,27
2013-05-25,39
2013-05-26,37
2013-05-27,29
2013-05-28,21
2013-05-29,19
2013-05-30,19
2013-05-31,26
