"start","end","Oblivion.movie."
2012-12-02,2012-12-08,3
2012-12-09,2012-12-15,15
2012-12-16,2012-12-22,4
2012-12-23,2012-12-29,3
2012-12-30,2013-01-05,4
2013-01-06,2013-01-12,3
2013-01-13,2013-01-19,3
2013-01-20,2013-01-26,5
2013-01-27,2013-02-02,2
2013-02-03,2013-02-09,2
2013-02-10,2013-02-16,4
2013-02-17,2013-02-23,4
2013-02-24,2013-03-02,4
2013-03-03,2013-03-09,5
2013-03-10,2013-03-16,5
2013-03-17,2013-03-23,7
2013-03-24,2013-03-30,18
2013-03-31,2013-04-06,27
2013-04-07,2013-04-13,62
2013-04-14,2013-04-20,100
2013-04-21,2013-04-27,90
2013-04-28,2013-05-04,48
