"start","Fantastic.Four.movie."
2015-10-01,51
2015-10-02,88
2015-10-03,100
2015-10-04,87
2015-10-05,53
2015-10-06,43
2015-10-07,44
2015-10-08,48
2015-10-09,58
2015-10-10,78
2015-10-11,77
2015-10-12,58
2015-10-13,40
2015-10-14,41
2015-10-15,61
2015-10-16,52
2015-10-17,62
2015-10-18,64
2015-10-19,45
2015-10-20,42
2015-10-21,36
2015-10-22,38
2015-10-23,46
2015-10-24,58
2015-10-25,62
2015-10-26,63
2015-10-27,56
2015-10-28,54
2015-10-29,46
2015-10-30,54
2015-10-31,84
