"start","Fantastic.Four.movie."
2015-09-01,61
2015-09-02,60
2015-09-03,55
2015-09-04,71
2015-09-05,91
2015-09-06,98
2015-09-07,70
2015-09-08,54
2015-09-09,47
2015-09-10,61
2015-09-11,73
2015-09-12,100
2015-09-13,91
2015-09-14,55
2015-09-15,51
2015-09-16,45
2015-09-17,42
2015-09-18,55
2015-09-19,73
2015-09-20,64
2015-09-21,40
2015-09-22,35
2015-09-23,35
2015-09-24,37
2015-09-25,44
2015-09-26,55
2015-09-27,48
2015-09-28,32
2015-09-29,30
2015-09-30,28
