"start","NH.10.movie."
2015-04-01,79
2015-04-02,100
2015-04-03,96
2015-04-04,92
2015-04-05,87
2015-04-06,58
2015-04-07,55
2015-04-08,37
2015-04-09,47
2015-04-10,44
2015-04-11,53
2015-04-12,50
2015-04-13,30
2015-04-14,29
2015-04-15,25
2015-04-16,32
2015-04-17,42
2015-04-18,49
2015-04-19,40
2015-04-20,25
2015-04-21,18
2015-04-22,24
2015-04-23,29
2015-04-24,44
2015-04-25,69
2015-04-26,53
2015-04-27,31
2015-04-28,22
2015-04-29,23
2015-04-30,23
