"start","Humpty.Sharma.Ki.Dulhania.movie."
2014-08-01,79
2014-08-02,100
2014-08-03,91
2014-08-04,64
2014-08-05,67
2014-08-06,60
2014-08-07,55
2014-08-08,61
2014-08-09,83
2014-08-10,74
2014-08-11,48
2014-08-12,44
2014-08-13,41
2014-08-14,48
2014-08-15,49
2014-08-16,56
2014-08-17,55
2014-08-18,39
2014-08-19,37
2014-08-20,38
2014-08-21,38
2014-08-22,46
2014-08-23,62
2014-08-24,55
2014-08-25,32
2014-08-26,34
2014-08-27,33
2014-08-28,37
2014-08-29,37
2014-08-30,48
2014-08-31,42
