"start","Humpty.Sharma.Ki.Dulhania.movie."
2014-07-01,6
2014-07-02,7
2014-07-03,7
2014-07-04,10
2014-07-05,13
2014-07-06,14
2014-07-07,8
2014-07-08,10
2014-07-09,10
2014-07-10,14
2014-07-11,66
2014-07-12,100
2014-07-13,85
2014-07-14,67
2014-07-15,59
2014-07-16,52
2014-07-17,53
2014-07-18,55
2014-07-19,69
2014-07-20,59
2014-07-21,36
2014-07-22,32
2014-07-23,33
2014-07-24,34
2014-07-25,35
2014-07-26,46
2014-07-27,42
2014-07-28,30
2014-07-29,32
2014-07-30,28
2014-07-31,29
