"start","Bhoot.Returns.movie."
2012-10-01,4
2012-10-02,1
2012-10-03,4
2012-10-04,3
2012-10-05,5
2012-10-06,7
2012-10-07,6
2012-10-08,8
2012-10-09,5
2012-10-10,4
2012-10-11,15
2012-10-12,100
2012-10-13,95
2012-10-14,71
2012-10-15,49
2012-10-16,39
2012-10-17,37
2012-10-18,29
2012-10-19,33
2012-10-20,38
2012-10-21,34
2012-10-22,23
2012-10-23,21
2012-10-24,20
2012-10-25,20
2012-10-26,25
2012-10-27,28
2012-10-28,23
2012-10-29,16
2012-10-30,12
2012-10-31,14
