"start","Piku.movie."
2015-06-01,70
2015-06-02,64
2015-06-03,63
2015-06-04,73
2015-06-05,78
2015-06-06,100
2015-06-07,94
2015-06-08,52
2015-06-09,53
2015-06-10,51
2015-06-11,55
2015-06-12,63
2015-06-13,82
2015-06-14,71
2015-06-15,38
2015-06-16,38
2015-06-17,38
2015-06-18,37
2015-06-19,43
2015-06-20,57
2015-06-21,48
2015-06-22,32
2015-06-23,27
2015-06-24,29
2015-06-25,27
2015-06-26,33
2015-06-27,52
2015-06-28,45
2015-06-29,28
2015-06-30,27
