"start","Piku.movie."
2015-03-01,4
2015-03-02,5
2015-03-03,2
2015-03-04,1
2015-03-05,2
2015-03-06,2
2015-03-07,1
2015-03-08,2
2015-03-09,2
2015-03-10,2
2015-03-11,3
2015-03-12,4
2015-03-13,2
2015-03-14,5
2015-03-15,3
2015-03-16,4
2015-03-17,3
2015-03-18,5
2015-03-19,2
2015-03-20,5
2015-03-21,8
2015-03-22,19
2015-03-23,21
2015-03-24,20
2015-03-25,93
2015-03-26,90
2015-03-27,57
2015-03-28,49
2015-03-29,35
2015-03-30,27
2015-03-31,24
2015-04-01,28
2015-04-02,33
2015-04-03,38
2015-04-04,36
2015-04-05,44
2015-04-06,42
2015-04-07,42
2015-04-08,48
2015-04-09,45
2015-04-10,57
2015-04-11,62
2015-04-12,65
2015-04-13,57
2015-04-14,52
2015-04-15,74
2015-04-16,73
2015-04-17,71
2015-04-18,88
2015-04-19,79
2015-04-20,75
2015-04-21,88
2015-04-22,76
2015-04-23,91
2015-04-24,98
2015-04-25,100
2015-04-26,93
2015-04-27,76
2015-04-28,77
2015-04-29,80
2015-04-30,100
