"start","Piku.movie."
2015-05-01,6
2015-05-02,6
2015-05-03,5
2015-05-04,6
2015-05-05,7
2015-05-06,8
2015-05-07,14
2015-05-08,71
2015-05-09,100
2015-05-10,81
2015-05-11,56
2015-05-12,50
2015-05-13,45
2015-05-14,51
2015-05-15,56
2015-05-16,72
2015-05-17,63
2015-05-18,39
2015-05-19,36
2015-05-20,34
2015-05-21,33
2015-05-22,38
2015-05-23,48
2015-05-24,42
2015-05-25,29
2015-05-26,24
2015-05-27,23
2015-05-28,23
2015-05-29,25
2015-05-30,36
2015-05-31,30
