"start","Jazbaa.movie."
2015-11-01,100
2015-11-02,56
2015-11-03,59
2015-11-04,56
2015-11-05,54
2015-11-06,59
2015-11-07,75
2015-11-08,69
2015-11-09,46
2015-11-10,48
2015-11-11,45
2015-11-12,43
2015-11-13,53
2015-11-14,64
2015-11-15,53
2015-11-16,38
2015-11-17,43
2015-11-18,41
2015-11-19,43
2015-11-20,53
2015-11-21,59
2015-11-22,55
2015-11-23,31
2015-11-24,33
2015-11-25,31
2015-11-26,35
2015-11-27,40
2015-11-28,47
2015-11-29,53
2015-11-30,29
