"start","Jazbaa.movie."
2015-08-01,3
2015-08-02,2
2015-08-03,4
2015-08-04,7
2015-08-05,3
2015-08-06,3
2015-08-07,3
2015-08-08,2
2015-08-09,3
2015-08-10,1
2015-08-11,2
2015-08-12,3
2015-08-13,3
2015-08-14,3
2015-08-15,7
2015-08-16,12
2015-08-17,10
2015-08-18,6
2015-08-19,3
2015-08-20,4
2015-08-21,5
2015-08-22,6
2015-08-23,4
2015-08-24,5
2015-08-25,49
2015-08-26,54
2015-08-27,32
2015-08-28,27
2015-08-29,20
2015-08-30,24
2015-08-31,17
2015-09-01,12
2015-09-02,12
2015-09-03,16
2015-09-04,23
2015-09-05,19
2015-09-06,20
2015-09-07,17
2015-09-08,34
2015-09-09,40
2015-09-10,36
2015-09-11,39
2015-09-12,54
2015-09-13,51
2015-09-14,46
2015-09-15,45
2015-09-16,51
2015-09-17,55
2015-09-18,68
2015-09-19,70
2015-09-20,73
2015-09-21,67
2015-09-22,78
2015-09-23,63
2015-09-24,70
2015-09-25,78
2015-09-26,100
2015-09-27,95
2015-09-28,80
2015-09-29,81
2015-09-30,100
