"start","Jazbaa.movie."
2015-10-01,12
2015-10-02,13
2015-10-03,13
2015-10-04,16
2015-10-05,11
2015-10-06,13
2015-10-07,14
2015-10-08,22
2015-10-09,92
2015-10-10,100
2015-10-11,71
2015-10-12,48
2015-10-13,37
2015-10-14,31
2015-10-15,29
2015-10-16,32
2015-10-17,38
2015-10-18,30
2015-10-19,20
2015-10-20,17
2015-10-21,17
2015-10-22,17
2015-10-23,18
2015-10-24,23
2015-10-25,18
2015-10-26,12
2015-10-27,11
2015-10-28,11
2015-10-29,10
2015-10-30,12
2015-10-31,15
