"start","Humshakals.movie."
2014-08-01,79
2014-08-02,100
2014-08-03,95
2014-08-04,68
2014-08-05,62
2014-08-06,54
2014-08-07,67
2014-08-08,74
2014-08-09,93
2014-08-10,81
2014-08-11,58
2014-08-12,56
2014-08-13,54
2014-08-14,56
2014-08-15,63
2014-08-16,79
2014-08-17,74
2014-08-18,58
2014-08-19,45
2014-08-20,46
2014-08-21,51
2014-08-22,51
2014-08-23,69
2014-08-24,59
2014-08-25,38
2014-08-26,41
2014-08-27,47
2014-08-28,45
2014-08-29,50
2014-08-30,90
2014-08-31,95
