"start","Humshakals.movie."
2014-06-01,7
2014-06-02,5
2014-06-03,5
2014-06-04,4
2014-06-05,6
2014-06-06,6
2014-06-07,9
2014-06-08,8
2014-06-09,7
2014-06-10,6
2014-06-11,6
2014-06-12,7
2014-06-13,8
2014-06-14,12
2014-06-15,14
2014-06-16,10
2014-06-17,10
2014-06-18,12
2014-06-19,18
2014-06-20,75
2014-06-21,100
2014-06-22,79
2014-06-23,57
2014-06-24,48
2014-06-25,42
2014-06-26,39
2014-06-27,44
2014-06-28,45
2014-06-29,37
2014-06-30,22
