"start","Humshakals.movie."
2014-07-01,84
2014-07-02,86
2014-07-03,86
2014-07-04,81
2014-07-05,100
2014-07-06,97
2014-07-07,60
2014-07-08,51
2014-07-09,53
2014-07-10,56
2014-07-11,61
2014-07-12,69
2014-07-13,58
2014-07-14,43
2014-07-15,38
2014-07-16,35
2014-07-17,36
2014-07-18,48
2014-07-19,57
2014-07-20,63
2014-07-21,38
2014-07-22,35
2014-07-23,35
2014-07-24,37
2014-07-25,32
2014-07-26,47
2014-07-27,42
2014-07-28,32
2014-07-29,39
2014-07-30,37
2014-07-31,39
