"start","Jurassic.World.movie."
2015-06-01,5
2015-06-02,6
2015-06-03,6
2015-06-04,6
2015-06-05,8
2015-06-06,12
2015-06-07,12
2015-06-08,11
2015-06-09,13
2015-06-10,19
2015-06-11,34
2015-06-12,70
2015-06-13,100
2015-06-14,90
2015-06-15,55
2015-06-16,48
2015-06-17,43
2015-06-18,41
2015-06-19,48
2015-06-20,65
2015-06-21,61
2015-06-22,35
2015-06-23,30
2015-06-24,27
2015-06-25,26
2015-06-26,29
2015-06-27,42
2015-06-28,38
2015-06-29,24
2015-06-30,20
