"start","Jurassic.World.movie."
2015-07-01,74
2015-07-02,72
2015-07-03,89
2015-07-04,96
2015-07-05,100
2015-07-06,66
2015-07-07,59
2015-07-08,55
2015-07-09,58
2015-07-10,64
2015-07-11,95
2015-07-12,87
2015-07-13,53
2015-07-14,51
2015-07-15,47
2015-07-16,46
2015-07-17,54
2015-07-18,77
2015-07-19,66
2015-07-20,43
2015-07-21,41
2015-07-22,38
2015-07-23,40
2015-07-24,48
2015-07-25,63
2015-07-26,61
2015-07-27,37
2015-07-28,36
2015-07-29,32
2015-07-30,31
2015-07-31,36
