"start","Furious.7.movie."
2015-11-01,91
2015-11-02,64
2015-11-03,59
2015-11-04,60
2015-11-05,67
2015-11-06,72
2015-11-07,100
2015-11-08,81
2015-11-09,60
2015-11-10,64
2015-11-11,63
2015-11-12,64
2015-11-13,71
2015-11-14,90
2015-11-15,83
2015-11-16,63
2015-11-17,59
2015-11-18,53
2015-11-19,60
2015-11-20,70
2015-11-21,87
2015-11-22,91
2015-11-23,67
2015-11-24,55
2015-11-25,69
2015-11-26,63
2015-11-27,73
2015-11-28,92
2015-11-29,84
2015-11-30,56
