"start","Exodus.Gods.and.Kings.movie."
2015-01-01,100
2015-01-02,84
2015-01-03,92
2015-01-04,66
2015-01-05,41
2015-01-06,42
2015-01-07,35
2015-01-08,33
2015-01-09,37
2015-01-10,50
2015-01-11,47
2015-01-12,31
2015-01-13,24
2015-01-14,24
2015-01-15,26
2015-01-16,28
2015-01-17,48
2015-01-18,36
2015-01-19,26
2015-01-20,19
2015-01-21,17
2015-01-22,19
2015-01-23,24
2015-01-24,32
2015-01-25,33
2015-01-26,21
2015-01-27,18
2015-01-28,18
2015-01-29,21
2015-01-30,25
2015-01-31,28
