"start","Exodus.Gods.and.Kings.movie."
2014-12-01,12
2014-12-02,14
2014-12-03,14
2014-12-04,24
2014-12-05,43
2014-12-06,57
2014-12-07,46
2014-12-08,39
2014-12-09,37
2014-12-10,40
2014-12-11,46
2014-12-12,72
2014-12-13,100
2014-12-14,80
2014-12-15,50
2014-12-16,43
2014-12-17,39
2014-12-18,41
2014-12-19,45
2014-12-20,58
2014-12-21,54
2014-12-22,39
2014-12-23,41
2014-12-24,38
2014-12-25,68
2014-12-26,64
2014-12-27,60
2014-12-28,53
2014-12-29,39
2014-12-30,38
2014-12-31,35
