"start","Brothers.movie."
2015-06-01,3
2015-06-02,3
2015-06-03,3
2015-06-04,3
2015-06-05,3
2015-06-06,5
2015-06-07,5
2015-06-08,4
2015-06-09,5
2015-06-10,11
2015-06-11,10
2015-06-12,7
2015-06-13,7
2015-06-14,8
2015-06-15,5
2015-06-16,5
2015-06-17,5
2015-06-18,4
2015-06-19,5
2015-06-20,6
2015-06-21,5
2015-06-22,4
2015-06-23,4
2015-06-24,4
2015-06-25,4
2015-06-26,4
2015-06-27,5
2015-06-28,6
2015-06-29,5
2015-06-30,5
2015-07-01,4
2015-07-02,5
2015-07-03,4
2015-07-04,6
2015-07-05,6
2015-07-06,5
2015-07-07,6
2015-07-08,5
2015-07-09,7
2015-07-10,7
2015-07-11,8
2015-07-12,8
2015-07-13,7
2015-07-14,6
2015-07-15,6
2015-07-16,6
2015-07-17,7
2015-07-18,9
2015-07-19,10
2015-07-20,7
2015-07-21,7
2015-07-22,8
2015-07-23,9
2015-07-24,10
2015-07-25,13
2015-07-26,13
2015-07-27,10
2015-07-28,10
2015-07-29,11
2015-07-30,10
2015-07-31,11
2015-08-01,13
2015-08-02,12
2015-08-03,10
2015-08-04,11
2015-08-05,11
2015-08-06,12
2015-08-07,13
2015-08-08,16
2015-08-09,14
2015-08-10,12
2015-08-11,14
2015-08-12,15
2015-08-13,22
2015-08-14,81
2015-08-15,100
2015-08-16,85
2015-08-17,61
2015-08-18,51
2015-08-19,44
2015-08-20,42
2015-08-21,43
2015-08-22,52
2015-08-23,43
2015-08-24,27
2015-08-25,24
2015-08-26,22
2015-08-27,22
2015-08-28,24
2015-08-29,28
2015-08-30,25
2015-08-31,16
