"start","Kai.Po.Che.movie."
2013-02-01,5
2013-02-02,4
2013-02-03,4
2013-02-04,4
2013-02-05,3
2013-02-06,2
2013-02-07,3
2013-02-08,4
2013-02-09,5
2013-02-10,4
2013-02-11,3
2013-02-12,3
2013-02-13,3
2013-02-14,3
2013-02-15,4
2013-02-16,6
2013-02-17,5
2013-02-18,6
2013-02-19,8
2013-02-20,13
2013-02-21,19
2013-02-22,71
2013-02-23,100
2013-02-24,94
2013-02-25,66
2013-02-26,61
2013-02-27,64
2013-02-28,64
