"start","Kai.Po.Che.movie."
2013-03-01,99
2013-03-02,100
2013-03-03,73
2013-03-04,41
2013-03-05,37
2013-03-06,35
2013-03-07,34
2013-03-08,36
2013-03-09,51
2013-03-10,43
2013-03-11,25
2013-03-12,22
2013-03-13,22
2013-03-14,19
2013-03-15,27
2013-03-16,31
2013-03-17,29
2013-03-18,17
2013-03-19,16
2013-03-20,18
2013-03-21,17
2013-03-22,19
2013-03-23,29
2013-03-24,23
2013-03-25,15
2013-03-26,17
2013-03-27,23
2013-03-28,18
2013-03-29,20
2013-03-30,23
2013-03-31,21
