"start","Baby.movie."
2015-03-01,85
2015-03-02,58
2015-03-03,54
2015-03-04,53
2015-03-05,58
2015-03-06,61
2015-03-07,79
2015-03-08,75
2015-03-09,51
2015-03-10,49
2015-03-11,52
2015-03-12,51
2015-03-13,56
2015-03-14,71
2015-03-15,73
2015-03-16,51
2015-03-17,55
2015-03-18,56
2015-03-19,58
2015-03-20,64
2015-03-21,88
2015-03-22,83
2015-03-23,58
2015-03-24,52
2015-03-25,54
2015-03-26,46
2015-03-27,61
2015-03-28,100
2015-03-29,81
2015-03-30,55
2015-03-31,52
