"start","Hasee.Toh.Phasee.movie."
2014-03-01,100
2014-03-02,75
2014-03-03,49
2014-03-04,46
2014-03-05,51
2014-03-06,49
2014-03-07,57
2014-03-08,80
2014-03-09,70
2014-03-10,39
2014-03-11,44
2014-03-12,42
2014-03-13,42
2014-03-14,50
2014-03-15,74
2014-03-16,60
2014-03-17,43
2014-03-18,39
2014-03-19,32
2014-03-20,39
2014-03-21,39
2014-03-22,55
2014-03-23,48
2014-03-24,35
2014-03-25,34
2014-03-26,32
2014-03-27,39
2014-03-28,38
2014-03-29,50
2014-03-30,42
2014-03-31,32
