"start","Hasee.Toh.Phasee.movie."
2013-12-01,0
2013-12-02,0
2013-12-03,0
2013-12-04,0
2013-12-05,0
2013-12-06,0
2013-12-07,0
2013-12-08,0
2013-12-09,0
2013-12-10,0
2013-12-11,0
2013-12-12,0
2013-12-13,2
2013-12-14,2
2013-12-15,1
2013-12-16,1
2013-12-17,1
2013-12-18,1
2013-12-19,1
2013-12-20,1
2013-12-21,1
2013-12-22,2
2013-12-23,2
2013-12-24,3
2013-12-25,2
2013-12-26,2
2013-12-27,1
2013-12-28,2
2013-12-29,2
2013-12-30,2
2013-12-31,3
2014-01-01,3
2014-01-02,2
2014-01-03,3
2014-01-04,3
2014-01-05,4
2014-01-06,3
2014-01-07,3
2014-01-08,4
2014-01-09,4
2014-01-10,4
2014-01-11,5
2014-01-12,5
2014-01-13,4
2014-01-14,4
2014-01-15,3
2014-01-16,4
2014-01-17,4
2014-01-18,5
2014-01-19,5
2014-01-20,4
2014-01-21,6
2014-01-22,6
2014-01-23,6
2014-01-24,5
2014-01-25,6
2014-01-26,8
2014-01-27,6
2014-01-28,5
2014-01-29,5
2014-01-30,7
2014-01-31,7
2014-02-01,11
2014-02-02,12
2014-02-03,9
2014-02-04,9
2014-02-05,10
2014-02-06,9
2014-02-07,74
2014-02-08,100
2014-02-09,85
2014-02-10,62
2014-02-11,53
2014-02-12,51
2014-02-13,55
2014-02-14,62
2014-02-15,78
2014-02-16,62
2014-02-17,44
2014-02-18,34
2014-02-19,34
2014-02-20,35
2014-02-21,43
2014-02-22,55
2014-02-23,47
2014-02-24,28
2014-02-25,24
2014-02-26,28
2014-02-27,28
2014-02-28,33
