"start","Bewakoofiyaan.movie."
2014-04-01,65
2014-04-02,65
2014-04-03,70
2014-04-04,71
2014-04-05,87
2014-04-06,92
2014-04-07,45
2014-04-08,53
2014-04-09,45
2014-04-10,49
2014-04-11,72
2014-04-12,100
2014-04-13,75
2014-04-14,55
2014-04-15,55
2014-04-16,57
2014-04-17,68
2014-04-18,69
2014-04-19,75
2014-04-20,64
2014-04-21,47
2014-04-22,35
2014-04-23,36
2014-04-24,44
2014-04-25,49
2014-04-26,72
2014-04-27,55
2014-04-28,34
2014-04-29,26
2014-04-30,49
