"start","Bhoothnath.Returns.movie."
2014-05-01,78
2014-05-02,76
2014-05-03,100
2014-05-04,85
2014-05-05,53
2014-05-06,45
2014-05-07,42
2014-05-08,52
2014-05-09,65
2014-05-10,72
2014-05-11,67
2014-05-12,44
2014-05-13,47
2014-05-14,40
2014-05-15,48
2014-05-16,56
2014-05-17,62
2014-05-18,50
2014-05-19,48
2014-05-20,44
2014-05-21,44
2014-05-22,43
2014-05-23,52
2014-05-24,55
2014-05-25,62
2014-05-26,47
2014-05-27,43
2014-05-28,41
2014-05-29,47
2014-05-30,43
2014-05-31,61
