"start","Bhoothnath.Returns.movie."
2014-05-01,80
2014-05-02,73
2014-05-03,100
2014-05-04,79
2014-05-05,50
2014-05-06,43
2014-05-07,44
2014-05-08,49
2014-05-09,61
2014-05-10,69
2014-05-11,70
2014-05-12,45
2014-05-13,46
2014-05-14,42
2014-05-15,48
2014-05-16,56
2014-05-17,61
2014-05-18,52
2014-05-19,45
2014-05-20,39
2014-05-21,41
2014-05-22,45
2014-05-23,48
2014-05-24,52
2014-05-25,60
2014-05-26,44
2014-05-27,40
2014-05-28,36
2014-05-29,45
2014-05-30,41
2014-05-31,61
