"start","Bhoothnath.Returns.movie."
2014-04-01,5
2014-04-02,6
2014-04-03,6
2014-04-04,7
2014-04-05,10
2014-04-06,11
2014-04-07,10
2014-04-08,9
2014-04-09,10
2014-04-10,17
2014-04-11,64
2014-04-12,100
2014-04-13,87
2014-04-14,67
2014-04-15,51
2014-04-16,49
2014-04-17,50
2014-04-18,64
2014-04-19,63
2014-04-20,54
2014-04-21,34
2014-04-22,28
2014-04-23,28
2014-04-24,29
2014-04-25,33
2014-04-26,47
2014-04-27,34
2014-04-28,26
2014-04-29,29
2014-04-30,27
