"start","Dedh.Ishqiya.movie."
2014-02-01,100
2014-02-02,81
2014-02-03,52
2014-02-04,49
2014-02-05,51
2014-02-06,27
2014-02-07,50
2014-02-08,69
2014-02-09,49
2014-02-10,31
2014-02-11,30
2014-02-12,24
2014-02-13,33
2014-02-14,41
2014-02-15,53
2014-02-16,49
2014-02-17,29
2014-02-18,27
2014-02-19,27
2014-02-20,35
2014-02-21,29
2014-02-22,53
2014-02-23,39
2014-02-24,25
2014-02-25,21
2014-02-26,26
2014-02-27,27
2014-02-28,32
